CBSA Code,year,n
21660,2011,16
21660,2012,8
21660,2013,21
21660,2014,19
21660,2015,16
21660,2016,1
21660,2017,31
21660,2018,9
21660,2019,8
21660,2020,14
21660,2021,20
21660,2022,31
21780,1980,13
21780,1981,32
21780,1982,57
21780,1983,71
21780,1984,31
21780,1985,54
21780,1986,35
21780,1987,81
21780,1988,81
21780,1989,53
21780,1990,60
21780,1991,91
21780,1992,28
21780,1993,40
21780,1994,76
21780,1995,71
21780,1996,56
21780,1997,45
21780,1998,65
21780,1999,59
21780,2000,41
21780,2001,33
21780,2002,54
21780,2003,32
21780,2004,13
21780,2005,47
21780,2006,27
21780,2007,48
21780,2008,13
21780,2009,6
21780,2010,23
21780,2011,18
21780,2012,36
21780,2013,3
21780,2014,7
21780,2015,7
21780,2016,7
21780,2017,4
21780,2018,5
21780,2020,3
21780,2021,3
21780,2022,2
22140,1984,3
22140,1998,5
22140,1999,2
22140,2000,33
22140,2001,22
22140,2002,24
22140,2003,20
22140,2004,2
22140,2005,10
22140,2006,24
22140,2007,47
22140,2008,3
22140,2009,1
22140,2010,13
22140,2011,14
22140,2012,14
22140,2013,9
22140,2015,2
22140,2016,2
22140,2017,7
22140,2018,22
22140,2020,5
22140,2021,9
22140,2022,12
22660,1980,16
22660,1981,15
22660,1982,6
22660,1983,11
22660,1984,10
22660,1985,6
22660,1986,16
22660,1987,10
22660,1988,26
22660,1989,14
22660,1990,5
22660,1991,16
22660,1992,7
22660,1993,8
22660,1994,12
22660,1995,8
22660,1996,13
22660,1997,5
22660,1998,22
22660,1999,10
22660,2000,30
22660,2001,15
22660,2002,46
22660,2003,41
22660,2004,12
22660,2005,12
22660,2006,46
22660,2007,39
22660,2008,22
22660,2009,10
22660,2010,26
22660,2011,37
22660,2012,54
22660,2013,29
22660,2014,19
22660,2015,19
22660,2016,11
22660,2017,17
22660,2018,34
22660,2019,6
22660,2020,24
22660,2021,41
22660,2022,11
23420,1980,174
23420,1981,147
23420,1982,136
23420,1983,114
23420,1984,158
23420,1985,186
23420,1986,180
23420,1987,180
23420,1988,188
23420,1989,195
23420,1990,149
23420,1991,143
23420,1992,133
23420,1993,126
23420,1994,110
23420,1995,123
23420,1996,139
23420,1997,145
23420,1998,120
23420,1999,203
23420,2000,200
23420,2001,231
23420,2002,239
23420,2003,201
23420,2004,138
23420,2005,119
23420,2006,138
23420,2007,155
23420,2008,138
23420,2009,123
23420,2010,98
23420,2011,130
23420,2012,143
23420,2013,148
23420,2014,128
23420,2015,106
23420,2016,112
23420,2017,132
23420,2018,104
23420,2019,80
23420,2020,105
23420,2021,85
23420,2022,35
24340,1980,37
24340,1981,25
24340,1982,30
24340,1983,41
24340,1984,28
24340,1985,23
24340,1986,25
24340,1987,41
24340,1988,57
24340,1989,48
24340,1990,34
24340,1991,51
24340,1992,15
24340,1993,11
24340,1994,29
24340,1995,28
24340,1996,21
24340,1997,22
24340,1998,35
24340,1999,41
24340,2000,16
24340,2001,36
24340,2002,35
24340,2003,27
24340,2004,11
24340,2005,40
24340,2006,19
24340,2007,26
24340,2008,4
24340,2009,4
24340,2010,5
24340,2011,10
24340,2012,24
24340,2013,7
24340,2014,5
24340,2015,3
24340,2016,13
24340,2017,1
24340,2018,5
24340,2019,1
24340,2020,9
24340,2021,5
24340,2022,5
24540,1980,17
24540,1981,22
24540,1982,11
24540,1983,17
24540,1984,17
24540,1985,4
24540,1986,9
24540,1987,9
24540,1988,9
24540,1989,4
24540,1990,7
24540,1991,6
24540,1992,1
24540,1993,1
24540,1994,4
24540,1995,5
24540,1996,4
24540,1997,3
24540,1998,13
24540,1999,3
24540,2000,4
24540,2001,13
24540,2002,22
24540,2003,30
24540,2004,2
24540,2005,22
24540,2006,31
24540,2007,20
24540,2008,11
24540,2009,4
24540,2010,9
24540,2011,13
24540,2012,26
24540,2013,13
24540,2014,6
24540,2015,12
24540,2016,3
24540,2017,10
24540,2018,14
24540,2019,3
24540,2020,13
24540,2021,37
24540,2022,16
24860,1980,80
24860,1981,45
24860,1982,32
24860,1983,78
24860,1984,25
24860,1985,28
24860,1986,45
24860,1987,63
24860,1988,73
24860,1989,22
24860,1990,55
24860,1991,15
24860,1992,17
24860,1993,55
24860,1994,19
24860,1995,40
24860,1996,31
24860,1997,46
24860,1998,75
24860,1999,75
24860,2000,77
24860,2001,45
24860,2002,58
24860,2003,31
24860,2004,24
24860,2005,36
24860,2006,25
24860,2007,24
24860,2008,18
24860,2009,1
24860,2010,16
24860,2011,22
24860,2012,6
24860,2015,3
24860,2016,7
24860,2019,1
24860,2020,1
24860,2021,1
25420,1980,45
25420,1981,34
25420,1982,56
25420,1983,72
25420,1984,38
25420,1985,45
25420,1986,35
25420,1987,49
25420,1988,57
25420,1989,31
25420,1990,33
25420,1991,56
25420,1992,19
25420,1993,45
25420,1994,45
25420,1995,37
25420,1996,27
25420,1997,30
25420,1998,56
25420,1999,53
25420,2000,35
25420,2001,60
25420,2002,51
25420,2003,30
25420,2004,25
25420,2005,44
25420,2006,23
25420,2007,35
25420,2008,24
25420,2009,10
25420,2010,16
25420,2011,18
25420,2012,15
25420,2013,13
25420,2014,4
25420,2015,8
25420,2016,6
25420,2017,1
